loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),
26:52.2,11587,232906.6346,-0.107498169,0.98588562,0.111968994,standing
26:52.2,11588,232906.6446,-0.106567383,0.986206055,0.11100769,standing
26:52.2,11589,232906.6546,-0.10647583,0.987060547,0.111251831,standing
26:52.2,11590,232906.6646,-0.104690552,0.986968994,0.110427856,standing
26:52.2,11591,232906.6747,-0.106216431,0.98727417,0.111801147,standing
26:52.2,11592,232906.6847,-0.106521606,0.987213135,0.113143921,standing
26:52.2,11593,232906.6947,-0.107223511,0.986495972,0.113922119,standing
26:52.2,11594,232906.7048,-0.108551025,0.986373901,0.114608765,standing
26:52.2,11595,232906.7148,-0.111251831,0.985717773,0.112060547,standing
26:52.3,11596,232906.7248,-0.111450195,0.986984253,0.111038208,standing
26:52.3,11597,232906.7348,-0.111251831,0.990127563,0.109893799,standing
26:52.3,11598,232906.7449,-0.109954834,0.991592407,0.110366821,standing
26:52.3,11599,232906.7549,-0.108184814,0.989334106,0.110565186,standing
26:52.3,11600,232906.7649,-0.10395813,0.9871521,0.11038208,standing
26:52.3,11601,232906.7749,-0.100723267,0.986633301,0.112106323,standing
26:52.3,11602,232906.785,-0.100662231,0.986236572,0.112808228,standing
26:52.3,11603,232906.795,-0.102325439,0.98815918,0.113296509,standing
26:52.3,11604,232906.805,-0.104202271,0.988876343,0.114273071,standing
26:52.3,11605,232906.815,-0.107116699,0.988586426,0.11517334,standing
26:52.4,11606,232906.825,-0.107971191,0.987258911,0.115997314,standing
26:52.4,11607,232906.835,-0.108108521,0.986297607,0.117080688,standing
26:52.4,11608,232906.845,-0.107284546,0.984329224,0.113800049,standing
26:52.4,11609,232906.855,-0.10710144,0.985595703,0.114746094,standing
26:52.4,11610,232906.865,-0.107620239,0.987365723,0.114700317,standing
26:52.4,11611,232906.875,-0.108520508,0.990036011,0.113601685,standing
26:52.4,11612,232906.885,-0.107788086,0.990661621,0.115905762,standing
26:52.4,11613,232906.895,-0.107391357,0.989532471,0.11882019,standing
