loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),groundTruthLabel
19:31.6,618,232466.0178,0.476425171,0.920837402,-0.064071655,walking
19:31.6,619,232466.0278,0.448150635,0.893249512,-0.054931641,walking
19:31.6,620,232466.0379,0.436203003,0.85925293,-0.025222778,walking
19:31.6,621,232466.0479,0.456558228,0.839782715,0.001647949,walking
19:31.6,622,232466.0579,0.478240967,0.834014893,0.037704468,walking
19:31.6,623,232466.068,0.4972229,0.837631226,0.066253662,walking
19:31.6,624,232466.078,0.509552002,0.84538269,0.067810059,walking
19:31.6,625,232466.088,0.515319824,0.853347778,0.05557251,walking
19:31.6,626,232466.098,0.526885986,0.850280762,0.044509888,walking
19:31.6,627,232466.1081,0.547348022,0.844299316,0.033676147,walking
19:31.7,628,232466.1181,0.578582764,0.850128174,0.012496948,walking
19:31.7,629,232466.1281,0.607849121,0.871826172,-0.00213623,walking
19:31.7,630,232466.1381,0.624206543,0.893478394,-0.000930786,walking
19:31.7,631,232466.1482,0.628082275,0.902984619,0.007888794,walking
19:31.7,632,232466.1582,0.616043091,0.901916504,0.015533447,walking
19:31.7,633,232466.1682,0.592254639,0.891448975,0.016799927,walking
19:31.7,634,232466.1783,0.558609009,0.880813599,0.009765625,walking
19:31.7,635,232466.1883,0.531021118,0.878646851,-0.010574341,walking
19:31.7,636,232466.1983,0.5027771,0.877487183,-0.042724609,walking
19:31.8,637,232466.2083,0.468078613,0.87171936,-0.077468872,walking
19:31.8,638,232466.2184,0.436706543,0.856689453,-0.092971802,walking
19:31.8,639,232466.2284,0.42829895,0.835922241,-0.092803955,walking
19:31.8,640,232466.2384,0.456619263,0.816864014,-0.073257446,walking
19:31.8,641,232466.2485,0.48626709,0.803665161,-0.045440674,walking
19:31.8,642,232466.2585,0.51953125,0.793655396,-0.031341553,walking
19:31.8,643,232466.2685,0.56036377,0.793807983,-0.026031494,walking
19:31.8,644,232466.2785,0.589935303,0.803024292,-0.015899658,walking
19:31.8,645,232466.2886,0.607757568,0.807022095,-0.006774902,walking
19:31.8,646,232466.2986,0.617584229,0.819519043,-0.014709473,walking
19:31.9,647,232466.3086,0.608047485,0.828598022,-0.03175354,walking
19:31.9,648,232466.3186,0.58744812,0.825683594,-0.065689087,walking
19:31.9,649,232466.3287,0.569656372,0.821090698,-0.088821411,walking
19:31.9,650,232466.3387,0.557754517,0.824981689,-0.104385376,walking
19:31.9,651,232466.3487,0.550567627,0.828430176,-0.12159729,walking
19:31.9,652,232466.3588,0.548782349,0.830062866,-0.140060425,walking
19:31.9,653,232466.3688,0.55140686,0.842498779,-0.151199341,walking
19:31.9,654,232466.3788,0.555755615,0.862365723,-0.158462524,walking
19:31.9,655,232466.3888,0.565124512,0.880310059,-0.156890869,walking
19:31.9,656,232466.3989,0.574905396,0.888275146,-0.13583374,walking
19:32.0,657,232466.4089,0.580810547,0.890594482,-0.110946655,walking
19:32.0,658,232466.4189,0.575958252,0.89453125,-0.099334717,walking
19:32.0,659,232466.4289,0.569458008,0.897659302,-0.102127075,walking
19:32.0,660,232466.439,0.559539795,0.895828247,-0.104156494,walking
19:32.0,661,232466.449,0.54385376,0.890274048,-0.101211548,walking
19:32.0,662,232466.459,0.534454346,0.883605957,-0.096679688,walking
19:32.0,663,232466.4691,0.537567139,0.873031616,-0.088577271,walking
19:32.0,664,232466.4791,0.554122925,0.870666504,-0.078399658,walking
19:32.0,665,232466.4891,0.562484741,0.866958618,-0.07951355,walking
19:32.0,666,232466.4991,0.558837891,0.859863281,-0.100799561,walking
19:32.1,667,232466.5092,0.547210693,0.85055542,-0.127944946,walking
19:32.1,668,232466.5192,0.531738281,0.847259521,-0.155593872,walking
19:32.1,669,232466.5292,0.512771606,0.847076416,-0.182693481,walking
19:32.1,670,232466.5393,0.483230591,0.845245361,-0.203933716,walking
19:32.1,671,232466.5493,0.455551147,0.845565796,-0.216583252,walking
19:32.1,672,232466.5593,0.435562134,0.844360352,-0.2237854,walking
19:32.1,673,232466.5693,0.426498413,0.841384888,-0.234024048,walking
